departmento,codigo,nome,turma,ano.periodo,professor,horario,vagas_ofertadas,vagas_ocupadas,local
DEPARTAMENTO DE MATEMÁTICA,MAT0006,ANÁLISE COMBINATÓRIA PARA CÁLCULO DE PROBABILIDADES,01,2024.1,CATIA REGINA GONCALVES (60h),25T45,40,0,A definir
DEPARTAMENTO DE MATEMÁTICA,MAT0010,GEOMETRIA ANALÍTICA PARA MATEMÁTICA,02,2024.1,ARY VASCONCELOS MEDINO (60h),2N34 4N12,50,0,ICC ASS 421/10
DEPARTAMENTO DE MATEMÁTICA,MAT0022,MATEMATICA 1,10,2024.1,CLAUS AKIRA MATSUSHIGUE (30h),24T45,65,0,2T45(ICC ANF.17) 4T45(ICC ANF. 7)
DEPARTAMENTO DE MATEMÁTICA,MAT0023,MATEMATICA 2,03,2024.1,ROGERIO CESAR DOS SANTOS (60h),3N12 5N34,40,0,FUP
DEPARTAMENTO DE MATEMÁTICA,MAT0025,CÁLCULO 1,27,2024.1,LUIZA YOKO TANEGUTI (90h),246M5 246T1,100,0,FGA - S9 / I9 / I9
DEPARTAMENTO DE MATEMÁTICA,MAT0026,CÁLCULO 2,15,2024.1,A DEFINIR DOCENTE,235M34,70,0,ICC ANF.12
DEPARTAMENTO DE MATEMÁTICA,MAT0027,CÁLCULO 3,12,2024.1,A DEFINIR DOCENTE,356M12,60,0,ICC ANF.11
DEPARTAMENTO DE MATEMÁTICA,MAT0028,VARIAVEL COMPLEXA 1,01,2024.1,LILIANE DE ALMEIDA MAIA (90h),235T23,70,0,ICC ANF.15
DEPARTAMENTO DE MATEMÁTICA,MAT0031,INTRODUCAO A ALGEBRA LINEAR,16,2024.1,TERCIO BRUM (30h),46T6 46N1,100,0,FGA - S3
DEPARTAMENTO DE MATEMÁTICA,MAT0034,ALGEBRA 1,03,2024.1,NORAI ROMEU ROCCO (60h),35M12,50,0,ICC ASS 432/10
DEPARTAMENTO DE MATEMÁTICA,MAT0038,TEORIA DOS NÚMEROS 1,02,2024.1,THEO ALLAN DARN ZAPATA (60h),35M34,60,0,ICC ANF. 2
DEPARTAMENTO DE MATEMÁTICA,MAT0039,ALGEBRA LINEAR,01,2024.1,IRINA SVIRIDOVA (90h),235T45,60,0,ICC ANF. 8
DEPARTAMENTO DE MATEMÁTICA,MAT0040,ALGEBRA 2,01,2024.1,RAIMUNDO DE ARAUJO BASTOS JUNIOR (60h),35M12,40,0,ICC ASS 421/10
DEPARTAMENTO DE MATEMÁTICA,MAT0045,ANALISE 1,02,2024.1,MARCELO FERNANDES FURTADO (60h),24M12,40,0,ICC ASS 415/10
DEPARTAMENTO DE MATEMÁTICA,MAT0050,GEOMETRIA DIFERENCIAL 1,01,2024.1,JOAO PAULO DOS SANTOS (60h),35T23,30,0,A definir
DEPARTAMENTO DE MATEMÁTICA,MAT0053,CALCULO NUMERICO,05,2024.1,CARLOS MABER CARRION RIVEROS (60h),24M34,70,0,ICC ANF.11
DEPARTAMENTO DE MATEMÁTICA,MAT0059,METODOS MATEMÁTICOS DA FÍSICA 1,01,2024.1,RADERSON RODRIGUES DA SILVA (90h),246M34,40,0,ICC ASS 433/10
DEPARTAMENTO DE MATEMÁTICA,MAT0060,HISTORIA DA MATEMATICA,01,2024.1,RAQUEL CARNEIRO DORR (60h),24N12,40,0,A definir
